title,author,price
Learn everything about PLC programming,Avinash Malekar,$9.99
"CompTIA A+, NETWORK+ & SECURITY+ EXAM PREP (3-BOOKS-IN-1)",SmartStudy Solutions,$14.99
Generative AI for Busy Business Leaders,Hassan Osman,$3.99
The Remote Work Handbook,"Hugo Soto, Catherine McGee",$4.99
AI for Beginners,Lise Pilot,$14.99
"Our Robots, Ourselves",David A. Mindell,$17.19
The Genesis Book,Aaron van Wirdum,$24.95
CompTIA Network+,Walker Schmidt,$5.99
Artificial Intelligence,Tony Chan,$9.99
Brilliant,Jane Brox,$21.49
Laws of UX,Jon Yablonski,$11.17
How to Create and Grow a Successful YouTube Channel 2025,Karen Noil,$6.99
Data for the People,Andreas S. Weigend,$21.49
Mastering AI (2 Books In 1),B.B. Jankoski,$19.95
More Everything Forever,Adam Becker,$21.83
The Ultimate Beginners Guide to Understanding Cryptocurrency for Investing,Nicasio Rios Jr,$14.99
We Have Root,Bruce Schneier,$21.49
Inteligencia artificial en la vida chilanga [Artificial Intelligence in the Chilanga Life],"varios autores, Salvador Zargoza - adaptador",$6.95
More Effective ChatGPT Prompts,M. E. Bryant,$3.99
Chat GPT Superstar,"Jules Beshears, 414 Industries",$14.99
CCNA,Walker Schmidt,$5.99
Books by Bots?,Marie Campbell,$3.99
The Content Writer’s Handbook,"Julia McCoy, Owen Hemsath, Jeff J Hunter",$9.99
CCNA,Walker Schmidt,$5.99
Social Media Addiction and Cell Phone Addiction Mastery Boxset,Gabrielle Townsend,$19.95
A Thousand Brains,"Jeff Hawkins, Richard Dawkins - foreword",$19.49
CompTIA Security+ & A+,Shawn Walker,$9.99
Learning OOP Design Patterns,Lyron Foster,$3.99
The Metaverse,Matthew Ball,$25.00
Using ChatGPT as Your At-Home Money-Making Consultant,Gary Covella,$4.99
Facebook,Steven Levy,$24.75
Drone Wars,Seth J. Frantzman,$17.19
The Social Media Marketing Blueprint,Mark Hrvatin,$5.99
CompTIA Network+,Walker Schmidt,$5.99
On Privacy and Technology,Daniel J. Solove,$11.17
The Ultimate Generative AI Guidebook,Jordan Blake,$19.95
They will come for you,"Sam Baron, SJ Blake",$14.99
AI Leadership Handbook,Andreas Welsch,$14.99
Coders at Work,Peter Seibel,$30.09
Designing Data-Intensive Applications,Martin Kleppmann,$30.09
Superbloom,Nicholas Carr,$20.00
ChatGPT AI Book Writing Formula,Caryl Westmore,$14.95
Understanding Artificial Intelligence: Volume One,J.F. Graley,$14.95
How to Create and Grow a Successful YouTube Channel 2025,Karen Noil,$6.99
The Remote Work Handbook,"Hugo Soto, Catherine McGee",$4.99
The AI Chatbot for Teachers,Sheila Sonne,$14.99
The Book of Satoshi,Phil Champagne,$19.95
The Beginner Generative AI Handbook,Jordan Blake,$14.95
Team Human,Douglas Rushkoff,$13.75
Understanding Artificial Intelligence Volume Two: From Algorithms to Art,J.F. Graley,$14.95
Zucked,Roger McNamee,$20.25
The Four,Scott Galloway,$18.00
Survival of the Richest,Douglas Rushkoff,$17.19
The Product Book,"Product School, Carlos González de Villaumbrosia, Josh Anon",$19.95
Mega Book of Website Designing,MAHINROOP PM,$14.99
The Ultimate Prepper’s Readiness Collection,Urban Readiness Collective,$19.95
Learn Python Quickly,Code Quickly,$19.95
The Art of AI,Michael Sean Kaminsky,$4.99
The Ultimate Kali Linux Book,Glen D. Singh,$24.95
CCNA,Walker Schmidt,$9.99
10 Hacks to Prepare Your Kids for the AI Future,10 Hacks Publishing,$9.99
The Metaverse,Matthew Ball,$21.49
ChatGPT Bible,Max Codex,$24.95
The Insider's Guide to Innovation @ Microsoft,"JoAnn Garbin, Dean Carignan, Eric Horvitz - foreword",$17.19
Fundamentals of Software Architecture,"Mark Richards, Neal Ford",$30.09
